id,source,license,lang,class_label,path,bytes,chars,has_codefence,exec_ctx,has_net_api,has_js_attr,num_calls,min_distance_to_call,contains_sql_tokens,contains_base64_like,contains_urlscheme,hash_tlsh,simhash64,duplicate_group,excluded_topics,created_at_utc
wikipedia_en_17397619,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_17397619.txt,619,619,0,0,0,0,1,-1,0,0,0,,3d73506b6c9e6dc9,,,2025-11-01T20:06:51Z
wikipedia_en_16714695,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_16714695.txt,509,509,0,0,0,0,0,-1,0,0,0,,4416218c7115e3aa,,,2025-11-01T20:07:03Z
wikipedia_en_65300630,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_65300630.txt,400,400,0,0,0,0,0,-1,0,0,0,,4778e89a638881b6,,,2025-11-01T20:07:41Z
wikipedia_en_55444013,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_55444013.txt,4821,4813,0,0,0,0,0,-1,0,0,0,,7e78343c5645c76c,,,2025-11-01T20:07:45Z
wikipedia_en_12373898,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_12373898.txt,480,480,0,0,0,0,0,-1,0,0,0,,22ba27eb1b9810e1,,,2025-11-01T20:07:48Z
wikipedia_en_80778378,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_80778378.txt,1267,1267,0,0,0,0,0,-1,0,0,0,,fc2b09c96095bf85,,,2025-11-01T20:08:07Z
wikipedia_en_29556717,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_29556717.txt,1215,1203,0,0,0,0,0,-1,0,0,0,,4119cdb4a0f3a004,,,2025-11-01T20:08:34Z
wikipedia_en_40361311,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_40361311.txt,1208,1208,0,0,0,0,1,-1,0,0,0,,f9348dc4d477f756,,,2025-11-01T20:09:20Z
wikipedia_en_428316,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_428316.txt,1252,1247,0,0,0,0,0,-1,0,0,0,,e73e8f249650b16c,,,2025-11-01T20:09:24Z
wikipedia_en_30746381,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_30746381.txt,652,650,0,0,0,0,0,-1,0,0,0,,3e18735d1159d222,,,2025-11-01T20:09:31Z
wikipedia_en_74769447,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_74769447.txt,899,891,0,0,0,0,1,-1,0,1,0,,02db301bf823e813,,,2025-11-01T20:10:01Z
wikipedia_en_62620182,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_62620182.txt,957,924,0,0,0,0,1,-1,0,0,0,,de6c7edb3979b04e,,,2025-11-01T20:10:10Z
wikipedia_en_34409431,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_34409431.txt,1156,1154,0,0,0,0,1,-1,0,0,0,,04934b61f17d38f1,,,2025-11-01T20:10:17Z
wikipedia_en_67251687,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_67251687.txt,714,712,0,0,0,0,1,-1,0,0,0,,2079f09ffd0d43cb,,,2025-11-01T20:10:40Z
wikipedia_en_2247560,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_2247560.txt,5516,5508,0,0,0,0,0,-1,0,0,0,,69a640d04cc68ac2,,,2025-11-01T20:10:58Z
wikipedia_en_53870209,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_53870209.txt,326,326,0,0,0,0,0,-1,0,0,0,,cac2ea303d691648,,,2025-11-01T20:11:10Z
wikipedia_en_79374332,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_79374332.txt,978,976,0,0,0,0,1,-1,0,0,0,,04f8532703a95d91,,,2025-11-01T20:11:13Z
wikipedia_en_39243807,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_39243807.txt,502,483,0,0,0,0,1,-1,0,0,0,,7e1c396c0ccedf32,,,2025-11-01T20:11:17Z
wikipedia_en_42310936,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_42310936.txt,497,497,0,0,0,0,1,-1,0,0,0,,1a288e773f10ba7e,,,2025-11-01T20:11:29Z
wikipedia_en_63739753,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_63739753.txt,392,383,0,0,0,0,1,-1,0,0,0,,7048a7d285d3b580,,,2025-11-01T20:11:51Z
wikipedia_en_77402277,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_77402277.txt,1983,1941,0,0,0,0,1,-1,0,0,0,,05b08db6b59dd47d,,,2025-11-01T20:12:03Z
wikipedia_en_27425290,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_27425290.txt,1305,1305,0,0,0,0,0,-1,0,1,0,,c57dfbf949dca20c,,,2025-11-01T20:12:06Z
wikipedia_en_5635383,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_5635383.txt,1313,1313,0,0,0,0,0,-1,0,0,0,,d5fdcdb55cd525d8,,,2025-11-01T20:12:14Z
wikipedia_en_3533181,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_3533181.txt,621,608,0,0,0,0,1,-1,0,0,0,,48fac548b9295f8d,,,2025-11-01T20:12:37Z
wikipedia_en_959000,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_959000.txt,2673,2671,0,0,0,0,1,-1,0,0,0,,33b6711a4f2a1eec,,,2025-11-01T20:12:44Z
wikipedia_en_7823090,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_7823090.txt,1671,1661,0,0,0,0,1,-1,0,0,0,,3bc6973beff0c150,,,2025-11-01T20:12:48Z
wikipedia_en_13496375,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_13496375.txt,2177,2175,0,0,0,0,1,-1,0,0,0,,bd088f73cf875723,,,2025-11-01T20:12:52Z
wikipedia_en_29206773,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_29206773.txt,811,809,0,0,0,0,1,-1,0,0,0,,cb3c36b13757ade9,,,2025-11-01T20:13:14Z
wikipedia_en_48416197,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_48416197.txt,886,886,0,0,1,0,1,-1,0,0,1,,b18bf618739aa981,,,2025-11-01T20:13:18Z
wikipedia_en_38427168,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_38427168.txt,4380,4367,0,0,1,0,1,-1,0,0,1,,035cbd4becb20bb5,,,2025-11-01T20:13:26Z
wikipedia_en_23396367,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_23396367.txt,1278,1276,0,0,0,0,1,-1,0,0,0,,ce90755d3929fe8e,,,2025-11-01T20:13:45Z
wikipedia_en_68114429,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_68114429.txt,379,379,0,0,0,0,0,-1,0,0,0,,7d0e7079c27fecd5,,,2025-11-01T20:14:30Z
wikipedia_en_62443274,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_62443274.txt,679,679,0,0,0,0,1,-1,0,0,0,,7e91b60f3f9dcb1c,,,2025-11-01T20:14:34Z
wikipedia_en_67146448,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_67146448.txt,666,662,0,0,0,0,0,-1,0,0,0,,e4a3a7c183f9efb8,,,2025-11-01T20:15:12Z
wikipedia_en_37628650,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_37628650.txt,425,422,0,0,0,0,1,-1,0,0,0,,a3f33a6c35f98ddf,,,2025-11-01T20:15:19Z
wikipedia_en_36311669,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_36311669.txt,330,325,0,0,0,0,1,-1,0,0,0,,69f03bccd93d7fb7,,,2025-11-01T20:15:38Z
wikipedia_en_7284626,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_7284626.txt,1729,1726,0,0,0,0,1,-1,0,0,0,,3d90b5493e86f488,,,2025-11-01T20:15:46Z
wikipedia_en_80363721,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_80363721.txt,312,308,0,0,0,0,1,-1,0,0,0,,3962d85526c3d8a2,,,2025-11-01T20:15:53Z
wikipedia_en_36065637,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_36065637.txt,683,681,0,0,0,0,0,-1,0,0,0,,3e98a3a1a1771e14,,,2025-11-01T20:16:12Z
wikipedia_en_70597637,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_70597637.txt,321,321,0,0,0,0,1,-1,0,0,0,,a0e172e2f269374d,,,2025-11-01T20:16:54Z
wikipedia_en_63607233,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_63607233.txt,327,327,0,0,0,0,0,-1,0,0,0,,8d9f90da2b8d31cd,,,2025-11-01T20:17:36Z
wikipedia_en_22630723,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_22630723.txt,397,397,0,0,0,0,0,-1,1,0,0,,7e6ddcf2c947c8d3,,,2025-11-01T20:17:54Z
wikipedia_en_57904255,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_57904255.txt,1805,1805,0,0,0,0,0,-1,0,1,0,,2b500e889ca19a41,,,2025-11-01T20:17:58Z
wikipedia_en_45476639,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_45476639.txt,1025,1023,0,0,0,0,1,-1,0,0,0,,f6d11877603f4661,,,2025-11-01T20:18:10Z
wikipedia_en_24078914,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_24078914.txt,510,510,0,0,0,0,1,-1,0,0,0,,b36509fb975e200f,,,2025-11-01T20:18:25Z
wikipedia_en_65704600,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_65704600.txt,1824,1824,0,0,0,0,1,-1,0,0,0,,97f968acc6bd8dc1,,,2025-11-01T20:18:29Z
wikipedia_en_31828640,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_31828640.txt,1166,1166,0,0,0,0,0,-1,0,0,0,,e35727bfe517d712,,,2025-11-01T20:18:36Z
wikipedia_en_3459455,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_3459455.txt,721,721,0,0,0,0,1,-1,0,0,0,,59b11a402545799f,,,2025-11-01T20:18:40Z
wikipedia_en_37052675,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_37052675.txt,987,981,0,0,0,0,0,-1,0,0,0,,95b5b6cce75cb2ea,,,2025-11-01T20:18:44Z
wikipedia_en_78907803,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_78907803.txt,2154,2154,0,0,0,0,0,-1,0,0,0,,f8da389b1b475dca,,,2025-11-01T20:18:59Z
wikipedia_en_23190313,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_23190313.txt,976,976,0,0,0,0,0,-1,0,0,0,,6c87add52199fc44,,,2025-11-01T20:19:14Z
wikipedia_en_51090070,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_51090070.txt,2276,2275,0,0,0,0,1,-1,0,0,0,,84d7db810167795c,,,2025-11-01T20:19:25Z
wikipedia_en_24563546,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_24563546.txt,477,477,0,0,0,0,1,-1,0,0,0,,010dee45173d6696,,,2025-11-01T20:19:40Z
wikipedia_en_17515830,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_17515830.txt,4013,4013,0,0,0,0,0,-1,0,0,0,,157deada6b1074d0,,,2025-11-01T20:20:03Z
wikipedia_en_11069002,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_11069002.txt,3661,3661,0,0,0,0,0,-1,0,0,0,,d47c7f0e8ae68f66,,,2025-11-01T20:20:15Z
wikipedia_en_21907334,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_21907334.txt,547,547,0,0,0,0,1,-1,0,0,0,,78b8f7524fe7c20d,,,2025-11-01T20:20:18Z
wikipedia_en_45110115,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_45110115.txt,2489,2471,0,0,0,0,1,-1,0,0,0,,2a88c801913ba3bc,,,2025-11-01T20:20:34Z
wikipedia_en_2350149,wikipedia,CC-BY-SA 4.0,other,pure_doc,samples/pure_doc/wikipedia_en_2350149.txt,321,321,0,0,0,0,0,-1,0,0,0,,4039482a2036d0e9,,,2025-11-01T20:21:00Z
wikipedia_en_81367235,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_81367235.txt,5082,5044,0,0,0,0,0,-1,1,0,0,,fb6ce58b57ffa6bb,,,2025-11-01T20:21:15Z
wikipedia_en_27215971,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_27215971.txt,310,310,0,0,0,0,0,-1,0,0,0,,45bda605b8988372,,,2025-11-01T20:21:23Z
wikipedia_en_40463334,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_40463334.txt,1012,1012,0,0,0,0,0,-1,0,0,0,,45d0396a1376cc9c,,,2025-11-01T20:22:12Z
wikipedia_en_48868272,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_48868272.txt,3504,3493,0,0,0,0,1,-1,0,0,0,,339d760720b5fdf8,,,2025-11-01T20:22:16Z
wikipedia_en_46899424,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_46899424.txt,4411,4411,0,0,0,0,1,-1,0,0,0,,1a0e2d686c904e32,,,2025-11-01T20:22:27Z
wikipedia_en_64562357,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_64562357.txt,1916,1912,0,0,0,0,1,-1,0,0,0,,b1a90dd3baa498b9,,,2025-11-01T20:22:38Z
wikipedia_en_56998345,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_56998345.txt,1565,1557,0,0,0,0,0,-1,0,0,0,,4e1838876c0b5b9d,,,2025-11-01T20:22:49Z
wikipedia_en_6782192,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_6782192.txt,370,370,0,0,0,0,0,-1,0,0,0,,b93a177e55af9e1c,,,2025-11-01T20:22:57Z
wikipedia_en_78126138,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_78126138.txt,2010,2007,0,0,0,0,0,-1,0,0,0,,b4dc704f2a80b542,,,2025-11-01T20:23:08Z
wikipedia_en_73506904,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_73506904.txt,2468,2464,0,0,0,0,1,-1,0,0,0,,1ce6ceef91f24582,,,2025-11-01T20:23:16Z
wikipedia_en_8453148,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_8453148.txt,516,512,0,0,0,0,0,-1,0,0,0,,c9d518192c6b6f64,,,2025-11-01T20:23:20Z
wikipedia_en_26091610,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_26091610.txt,1866,1862,0,0,0,0,1,-1,0,1,0,,31b4be820748478e,,,2025-11-01T20:23:24Z
wikipedia_en_55401250,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_55401250.txt,977,977,0,0,0,0,1,-1,0,0,0,,73cef449283e2ba6,,,2025-11-01T20:23:35Z
wikipedia_en_10120946,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_10120946.txt,1345,1332,0,0,0,0,1,-1,0,0,0,,9d6545ad582815ef,,,2025-11-01T20:23:54Z
wikipedia_en_47592577,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_47592577.txt,3807,3789,0,0,0,0,1,-1,0,0,0,,9707a59ed41b5a6b,,,2025-11-01T20:23:57Z
wikipedia_en_16064234,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_16064234.txt,566,566,0,0,0,0,1,10,0,0,0,,6c6c7fc06c5f3c81,,,2025-11-01T20:24:12Z
wikipedia_en_27518695,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_27518695.txt,540,540,0,0,0,0,0,-1,0,0,0,,ded8b9630d372bdb,,,2025-11-01T20:24:32Z
wikipedia_en_28859803,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_28859803.txt,499,499,0,0,0,0,0,-1,0,0,0,,cd8f44f662ceb587,,,2025-11-01T20:24:56Z
wikipedia_en_54836657,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_54836657.txt,1493,1493,0,0,0,0,1,-1,0,0,0,,b46954f7d5467f53,,,2025-11-01T20:25:15Z
wikipedia_en_39387992,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_39387992.txt,365,337,0,0,0,0,1,-1,0,0,0,,2d1b3dfab765c33f,,,2025-11-01T20:25:34Z
wikipedia_en_28194064,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_28194064.txt,1602,1601,0,0,0,0,0,-1,0,0,0,,75c296e61167000d,,,2025-11-01T20:25:45Z
wikipedia_en_25341399,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_25341399.txt,494,490,0,0,0,0,1,-1,0,0,0,,76c847841fe7977d,,,2025-11-01T20:25:49Z
wikipedia_en_42492858,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_42492858.txt,1364,1363,0,0,0,0,1,-1,0,0,0,,fb7249d1b8e393d4,,,2025-11-01T20:26:04Z
wikipedia_en_81157051,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_81157051.txt,1058,1058,0,0,0,0,0,-1,0,0,0,,b997cdba4308766f,,,2025-11-01T20:26:16Z
wikipedia_en_40170984,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_40170984.txt,1031,1030,0,0,0,0,1,-1,0,0,0,,b925b5d4357a3ade,,,2025-11-01T20:26:27Z
wikipedia_en_52721244,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_52721244.txt,458,458,0,0,0,0,1,-1,0,0,0,,54b186652d9b48d9,,,2025-11-01T20:26:38Z
wikipedia_en_1110,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_1110.txt,3103,3100,0,0,0,0,1,-1,0,1,0,,ac5927c70fc88814,,,2025-11-01T20:26:45Z
wikipedia_en_58127175,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_58127175.txt,340,340,0,0,0,0,1,-1,0,0,0,,9a13b7dfa0289873,,,2025-11-01T20:27:04Z
wikipedia_en_6802029,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_6802029.txt,387,387,0,0,0,0,1,-1,0,0,0,,0a3ef2d3a9d084fd,,,2025-11-01T20:27:16Z
wikipedia_en_67247255,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_67247255.txt,2798,2798,0,0,0,0,1,-1,0,1,0,,248caf9d147c0121,,,2025-11-01T20:27:38Z
wikipedia_en_25547965,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_25547965.txt,535,533,0,0,0,0,1,-1,0,0,0,,c05fa042a59e569d,,,2025-11-01T20:27:42Z
wikipedia_en_12391782,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_12391782.txt,421,421,0,0,0,0,0,-1,0,0,0,,4b2202f063b07b89,,,2025-11-01T20:27:46Z
wikipedia_en_35058875,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_35058875.txt,592,592,0,0,0,0,0,-1,0,0,0,,1408252c520a11d3,,,2025-11-01T20:27:49Z
wikipedia_en_9143950,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_9143950.txt,730,730,0,0,0,0,0,-1,0,0,0,,c969ede6056226f8,,,2025-11-01T20:28:01Z
wikipedia_en_55926193,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_55926193.txt,2056,2056,0,0,0,0,0,-1,0,0,0,,c66f51ce6541a303,,,2025-11-01T20:28:08Z
wikipedia_en_3369330,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_3369330.txt,450,448,0,0,0,0,1,-1,0,0,0,,642e7db7218b2043,,,2025-11-01T20:29:17Z
wikipedia_en_1946193,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_1946193.txt,2282,2282,0,0,0,0,0,-1,0,1,0,,68e582f3dfbd111b,,,2025-11-01T20:29:28Z
wikipedia_en_75154458,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_75154458.txt,1906,1899,0,0,0,0,0,-1,0,1,0,,96a458ad5a5a7125,,,2025-11-01T20:29:32Z
wikipedia_en_43265822,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_43265822.txt,355,355,0,0,0,0,0,-1,0,0,0,,3fe249e3cda54bee,,,2025-11-01T20:29:47Z
wikipedia_en_14694695,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_14694695.txt,508,508,0,0,0,0,0,-1,0,0,0,,4a595ff8964a5487,,,2025-11-01T20:29:54Z
wikipedia_en_6950630,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_6950630.txt,1215,1215,0,0,0,0,0,-1,0,0,0,,c26df3be86d8e774,,,2025-11-01T20:29:58Z
wikipedia_en_58521613,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_58521613.txt,328,328,0,0,0,0,1,-1,0,0,0,,59b79f9dae90230c,,,2025-11-01T20:30:22Z
wikipedia_en_44490738,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_44490738.txt,1367,1337,0,0,0,0,1,-1,0,0,0,,94e93ade8344fb6a,,,2025-11-01T20:30:26Z
wikipedia_en_12591423,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_12591423.txt,1666,1662,0,0,0,0,1,-1,0,1,0,,1f16bb9f7302f20d,,,2025-11-01T20:30:38Z
wikipedia_en_26619731,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_26619731.txt,555,555,0,0,0,0,1,-1,0,0,0,,325027379c879b2d,,,2025-11-01T20:30:41Z
wikipedia_en_26880306,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_26880306.txt,1461,1461,0,0,0,0,1,-1,0,0,0,,b5ad0c4fb2b4a4d1,,,2025-11-01T20:31:08Z
wikipedia_en_37883821,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_37883821.txt,2113,2109,0,0,0,0,1,-1,0,0,0,,b67971b468fc358a,,,2025-11-01T20:31:12Z
wikipedia_en_39706707,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_39706707.txt,323,299,0,0,0,0,1,-1,0,0,0,,6a044c6cad01171b,,,2025-11-01T20:31:38Z
wikipedia_en_59010640,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_59010640.txt,1591,1589,0,0,0,0,1,-1,0,0,0,,bcfd2ee4c1ecbc86,,,2025-11-01T20:31:42Z
wikipedia_en_20144137,wikipedia,CC-BY-SA 4.0,en,pure_doc,samples/pure_doc/wikipedia_en_20144137.txt,2531,2523,0,0,0,0,1,-1,0,0,0,,a7f89d43602b8607,,,2025-11-01T20:32:01Z
